"conference","year","doi","title","citationCount","download6weeks","download12months","downloadAll","keywords","pageNumber","authors"
"CHI","01","http://dx.doi.org/10.1145/365024.365047","Responding to subtle, fleeting changes in the user's internal state","15 ","9","38","550","acknowledgements; ephemeral emotions; human factors; management; performance; real-time; social interaction; theory; user interfaces","8","Wataru Tsukahara, Hitachi Central Research Labs, 1-280 Higashi-Koigakubo, Kokubunji-shi, Tokyo 185-8601 Japan"
"CHI","01","http://dx.doi.org/10.1145/365024.365051","An &ldquo;independent visual background&rdquo; reduced balance disturbance envoked by visual scene motion: implication for alleviating simulator sickness","2 ","10","49","589","artificial, augmented, and virtual realities; cybersickness; human factors; management; performance; simulator sickness; virtual environments; virtual reality","5","Henry Been-Lirn Duh, Human Interface Techology Lab, University of Washington, Seattle, WA; Donald E. Parker, Department of Otolaryngology, University of Washington, Seattle, WA"
"CHI","01","http://dx.doi.org/10.1145/365024.365054","Layered participatory analysis: new developments in the CARD technique","16 ","15","54","991","card; group and organization interfaces; management; panda; participatory design; systems development; work analysis","8",""
"CHI","01","http://dx.doi.org/10.1145/365024.365056","Building a human factors &ldquo;knowledge shelf&rdquo; as a collaborative information tool for designers","0 ","15","43","825","collaborative work; documentation; group and organization interfaces; industrial design; knowledge shelf; performance; systems analysis and design","6","Brian H. Philips, Motorola, Design Integration - Human Factors, Communications Enterprise, 8000 West Sunrise Boulevard, Fort Lauderdale, FL; Moin Rahman, Motorola, Design Integration - Human Factors, Communications Enterprise, 8000 West Sunrise Boulevard, Fort Lauderdale, FL"
"CHI","01","http://dx.doi.org/10.1145/365024.365060","Global-software development lifecycle: an exploratory study","24 ","22","116","2,500","design; global-software development; human factors; life cycle; management; performance; spreadsheets; usability evaluation","8",""
"CHI","01","http://dx.doi.org/10.1145/365024.365061","Ignoring perfect knowledge in-the-world for imperfect knowledge in-the-head","8 ","8","48","788","cognitive least-effort; direct-manipulation interfaces; eye movements; human factors; interface design; satisficing","8","Wayne D. Gray, Human Factors and Applied Cognition, George Mason University, Fairfax, VA"
"CHI","01","http://dx.doi.org/10.1145/365024.365064","Predicting the effects of in-car interfaces on driver behavior using a cognitive architecture","11 ","11","50","1,539","act-r; cognitive architectures; consumer products; driving; human factors; management; performance; theory","8",""
"CHI","01","http://dx.doi.org/10.1145/365024.365069","Towards demystification of direct manipulation: cognitive modeling charts the gulf of execution","2 ","9","48","624","cognitive modeling; design; human factors; management; performance","8","David Kieras, Electrical Engineering and Computer Science Department, University of Michigan, Ann Arbor, MI; David Meyer, Psychology Department, University of Michigan, Ann Arbor, MI"
"CHI","01","http://dx.doi.org/10.1145/365024.365073","Visualization components for persistent conversations","62 ","14","94","1,407","asynchronous threaded discussions; design; electronic mail; management; performance; social cyberspaces; usenet","8","Marc A. Smith, Collaboration & Multimedia Group, Microsoft Research, One Microsoft Way, Redmond, WA"
"CHI","01","http://dx.doi.org/10.1145/365024.365077","Time Aura: interfaces for pacing","4 ","9","44","583","applications; human factors; measurement; performance; ubiquitous computing; user/machine systems","8","Lena Mamykina, Everyday Computing Lab, GVU Center, Georgia Institute of Technology, Atlanta, GA; Elizabeth Mynatt, Everyday Computing Lab, GVU Center, Georgia Institute of Technology, Atlanta, GA"
"CHI","01","http://dx.doi.org/10.1145/365024.365078","Doom as an interface for process management","22 ","11","65","1,366","3d user interfaces; design; first-person shooter; games; human factors; metaphors; performance; theory; video games","6",""
"CHI","01","http://dx.doi.org/10.1145/365024.365090","Shall we mix synthetic speech and human speech?: impact on users' performance, perception, and attitude","9 ","12","44","759","consistency; email and calendar; human factors; management; performance; speech recognition and synthesis; theory; voice i/o","8",""
"CHI","01","http://dx.doi.org/10.1145/365024.365092","Effects of spatial audio on memory, comprehension, and preference during desktop conferences","17 ","11","55","688","3d; audio input/output; comprehension; design; focal assurance; management; memory; performance; spatial; user preference","8",""
"CHI","01","http://dx.doi.org/10.1145/365024.365094","Quiet calls: talking silently on mobile phones","28 ","8","61","1,165","communications applications; design; human factors; languages; measurement; performance; sound and music computing; theory; user/machine systems","8","Les Nelson, FX Palo Alto Laboratory, Palo Alto, CA"
"CHI","01","http://dx.doi.org/10.1145/365024.365096","The audio notebook: paper and pen interaction with structured speech","55 ","12","80","1,287","acoustic structuring; design; human factors; languages; paper; performance; speech as data; speech recognition and synthesis; user structuring","8","Lisa Stifelman, MIT Media Laboratory, Cambridge, MA; Barry Arons, MIT Media Laboratory, Cambridge, MA"
"CHI","01","http://dx.doi.org/10.1145/365024.365097","Does organisation by similarity assist image browsing?","77 ","11","79","1,230","design; evaluation/methodology; human factors; image retrieval; interaction styles; management; performance; theory","8","Kerry Rodden, University of Cambridge Computer Laboratory, Pembroke Street, Cambridge CB2 3QG, UK; Wojciech Basalaj, University of Cambridge Computer Laboratory, Pembroke Street, Cambridge CB2 3QG, UK; David Sinclair, AT&T Laboratories Cambridge, Trumpington Street, Cambridge CB2 1QA, UK"
"CHI","01","http://dx.doi.org/10.1145/365024.365098","Using thumbnails to search the Web","56 ","11","96","1,369","design; interaction styles; measurement; reliability; theory; web search task; web-based services","8","Allison Woodruff, Xerox Palo Alto Research Center, 3333 Coyote Hill Rd., Palo Alto, CA; Andrew Faulring, Xerox Palo Alto Research Center, 3333 Coyote Hill Rd., Palo Alto, CA and Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA; Ruth Rosenholtz, Xerox Palo Alto Research Center, 3333 Coyote Hill Rd., Palo Alto, CA; Julie Morrsion, Xerox Palo Alto Research Center, 3333 Coyote Hill Rd., Palo Alto, CA"
"CHI","01","http://dx.doi.org/10.1145/365024.365100","On the road and on the Web?: comprehension of synthetic and human speech while driving","7 ","10","46","801","comprehension; driving performance; human factors; management; performance; speech synthesis; theory; web-based interaction","7","Jennifer Lai, IBM Corporation, T.J. Watson Research Center, Hawthorne, NY; Karen Cheng, IBM Corporation, T.J. Watson Research Center, Hawthorne, NY; Paul Green, University of Michigan, Transportation Research Institute, Ann Arbor, MI"
"CHI","01","http://dx.doi.org/10.1145/365024.365102","Accordion summarization for end-game browsing on PDAs and cellular phones","41 ","7","38","1,001","design; html; human factors; management; pda; portable devices; wap; web-based services; www","8","Orkut Buyukkokten, Digital Libraries Lab (InfoLab), Stanford University, Stanford, CA; Hector Garcia-Molina, Digital Libraries Lab (InfoLab), Stanford University, Stanford, CA"
"CHI","01","http://dx.doi.org/10.1145/365024.365105","ConNexus to awarenex: extending awareness to mobile users","104 ","12","68","1,584","algorithms; computer-mediated communication; cscw; ergonomics; human factors; management; performance; theory","8","John C. Tang, Sun Microsystems Laboratories, 901 San Antonio Road, Palo Alto, CA; Nicole Yankelovich, Sun Microsystems Laboratories, 901 San Antonio Road, Palo Alto, CA; James Begole, Sun Microsystems Laboratories, 901 San Antonio Road, Palo Alto, CA; Max Van Kleek, MIT and Sun Microsystems Laboratories, 901 San Antonio Road, Palo Alto, CA; Francis Li, U.C Berkeley and Sun Microsystems Laboratories, 901 San Antonio Road, Palo Alto, CA"
"CHI","01","http://dx.doi.org/10.1145/365024.365107","Beyond command knowledge: identifying and teaching strategic knowledge for using complex computer applications","6 ","6","35","625","curriculum; experimentation; human factors; management; performance; theory; training, help, and documentation","8","Suresh K. Bhavnani, School of Information, University of Michigan, Ann Arbor, MI; Frederick Reif, Center for Innovation in Learning, Carnegie Mellon University, Pittsburgh, PA"
